Zip,City,State,Division,Parking,Pets,Food,Lounge
21001,Aberdeen,MD,Mid-Atlantic,N,N,N,N
97321,Albany,OR,Pacific Northwest,Y,Y,N,N
49224,Albion,MI,Central,N,Y,N,N
87102,Albuquerque,NM,Southwest,Y,Y,N,N
24910,Alderson,WV,Mid-Atlantic,N,N,N,N
22301,Alexandria,VA,Mid-Atlantic,Y,Y,N,N
44601,Alliance,OH,Central,N,N,N,N
49707,Alpena,MI,Central,N,N,N,N
79830,Alpine,TX,Southwest,N,N,N,N
62002,Alton,IL,Central,Y,N,N,N
16601,Altoona,PA,Mid-Atlantic,Y,N,N,N
1002,Amherst,MA,Northeast,N,Y,N,N
12010,Amsterdam,NY,Northeast,N,N,N,N
92806,Anaheim,CA,Southwest,Y,Y,N,N
48104,Ann Arbor,MI,Central,Y,N,N,N
36201,Anniston,AL,Southern,N,N,N,N
94509,Antioch,CA,Pacific,N,N,N,N
54911,Appleton,WI,Central,N,N,N,N
95521,Arcata,CA,Pacific,N,N,N,N
73401,Ardmore,OK,Southwest,N,N,N,N
19003,Ardmore,PA,Mid-Atlantic,N,N,N,N
71923,Arkadelphia,AR,Central,N,N,N,N
41101,Ashland,KY,Mid-Atlantic,N,N,N,N
97520,Ashland,OR,Pacific,N,N,N,N
23005,Ashland,VA,Mid-Atlantic,N,N,N,N
97103,Astoria,OR,Pacific,N,N,N,N
97103,Astoria,OR,Pacific Northwest,N,N,N,N
93422,Atascadero,CA,Pacific,N,N,N,N
83801,Athol,ID,Pacific Northwest,N,N,N,N
30309,Atlanta,GA,Southern,Y,N,N,N
8401,Atlantic City,NJ,Northeast,N,Y,N,N
95603,Auburn,CA,Pacific,N,N,N,N
78703,Austin,TX,Southwest,Y,Y,N,N
97814,Baker City,OR,Pacific Northwest,N,N,N,N
93301,Bakersfield,CA,Pacific,Y,Y,N,N
21201,Baltimore,MD,Mid-Atlantic,Y,Y,N,N
4401,Bangor,ME,Northeast,N,N,N,N
49013,Bangor,MI,Central,N,N,N,N
92311,Barstow,CA,Southwest,N,N,N,N
92311,Barstow,CA,Southwest,N,N,N,N
4530,Bath,ME,Northeast,N,N,N,N
70802,Baton Rouge,LA,Southern,N,N,N,N
49017,Battle Creek,MI,Central,Y,N,N,N
48708,Bay City,MI,Central,N,N,N,N
77704,Beaumont,TX,Southwest,N,N,N,N
53916,Beaver Dam,WI,Central,N,N,N,N
98225,Bellingham,WA,Pacific Northwest,Y,Y,N,N
5101,Bellows Falls,VT,Northeast,N,N,N,N
97701,Bend,OR,Pacific Northwest,N,N,N,N
97701,Bend,OR,Pacific Northwest,N,N,N,N
97701,Bend,OR,Pacific Northwest,N,N,N,N
85602,Benson,AZ,Southwest,N,N,N,N
94710,Berkeley,CA,Pacific,N,N,N,N
21811,Berlin,MD,Mid-Atlantic,N,N,N,N
3570,Berlin,NH,Northeast,N,N,N,N
49307,Big Rapids,MI,Central,N,N,N,N
98605,Bingen,WA,Pacific Northwest,N,N,N,N
35203,Birmingham,AL,Southern,Y,N,N,N
48009,Birmingham,MI,Central,N,N,N,N
83702,Boise,ID,Pacific Northwest,N,N,N,N
2116,Boston,MA,Northeast,Y,Y,N,N
49713,Boyne Falls,MI,Central,N,N,N,N
34205,Bradenton,FL,Southern,N,Y,N,N
5301,Brattleboro,VT,Northeast,N,Y,N,N
98812,Brewster,WA,Pacific,N,N,N,N
6604,Bridgeport,CT,Northeast,N,Y,N,N
39601,Brookhaven,MS,Southern,N,N,N,N
97415,Brookings,OR,Pacific,N,N,N,N
59417,Browning,MT,Pacific Northwest,N,N,N,N
43506,Bryan,OH,Central,N,N,N,N
93427,Buellton,CA,Pacific,N,N,N,N
14203,Buffalo,NY,Northeast,Y,N,N,N
91505,Burbank,CA,Southwest,N,N,N,N
22015,Burke,VA,Mid-Atlantic,N,N,N,N
52601,Burlington,IA,Central,N,N,N,N
27217,Burlington,NC,Southern,N,N,N,N
97720,Burns,OR,Pacific Northwest,N,N,N,N
21240,BWI Airport,MD,Mid-Atlantic,Y,N,N,N
92230,Cabazon,CA,Southwest,N,N,N,N
49601,Cadillac,MI,Central,N,N,N,N
93010,Camarillo,CA,Southwest,N,N,N,N
21613,Cambridge,MD,Mid-Atlantic,N,Y,N,N
29020,Camden,SC,Southern,N,N,N,N
86322,Camp Verde,AZ,Southwest,N,N,N,N
97110,Cannon Beach,OR,Pacific Northwest,N,N,N,N
62901,Carbondale,IL,Central,Y,Y,N,N
62626,Carlinville,IL,Central,N,N,N,N
92008,Carlsbad,CA,Pacific,N,N,N,N
93923,Carmel,CA,Pacific,N,N,N,N
93013,Carpinteria,CA,Southwest,N,N,N,N
27513,Cary,NC,Southern,Y,N,N,N
5735,Castleton,VT,Northeast,N,Y,N,N
97523,Cave Junction,OR,Pacific,N,N,N,N
62801,Centralia,IL,Central,N,N,N,N
98531,Centralia,WA,Pacific Northwest,Y,Y,N,N
61820,Champaign,IL,Central,Y,Y,N,N
25314,Charleston,WV,Mid-Atlantic,Y,Y,N,N
28206,Charlotte,NC,Southern,Y,Y,N,N
22903,Charlottesville,VA,Mid-Atlantic,Y,Y,N,N
91311,Chatsworth,CA,Southwest,N,N,N,N
97731,Chemult,OR,Pacific Northwest,N,N,N,N
99109,Chewelah,WA,Pacific Northwest,N,N,N,N
60606,Chicago,IL,Central,Y,Y,N,Y
95928,Chico,CA,Pacific,N,N,N,N
54729,Chippewa Falls,WI,Central,N,N,N,N
45203,Cincinnati,OH,Central,Y,Y,N,N
91711,Claremont,CA,Southwest,N,N,N,N
33760,Clearwater,FL,Southern,Y,N,N,N
76031,Cleburne,TX,Southwest,N,N,N,N
29631,Clemson,SC,Southern,N,N,N,N
44114,Cleveland,OH,Central,Y,Y,N,N
24422,Clifton Forge,VA,Mid-Atlantic,N,N,N,N
95425,Cloverdale,CA,Pacific,N,N,N,N
19320,Coatesville,PA,Mid-Atlantic,N,N,N,N
83814,Coeur d'Alene,ID,Pacific Northwest,N,N,N,N
54421,Colby,WI,Central,N,N,N,N
95713,Colfax,CA,Pacific,N,N,N,N
99111,Colfax,WA,Pacific Northwest,N,N,N,N
80903,Colorado Springs,CO,Central,N,N,N,N
29201,Columbia,SC,Southern,Y,N,Y,N
53925,Columbus,WI,Central,Y,Y,N,N
99114,Colville,WA,Pacific Northwest,N,N,N,N
3301,Concord,NH,Northeast,N,N,N,N
15425,Connellsville,PA,Mid-Atlantic,N,N,N,N
47331,Connersville,IN,Central,N,N,N,N
97420,Coos Bay,OR,Pacific Northwest,N,N,N,N
93212,Corcoran,CA,Pacific,N,N,N,N
19020,Cornwells Heights,PA,Northeast,N,N,N,N
97330,Corvallis,OR,Pacific Northwest,N,N,N,N
97604,Crater Lake,OR,Pacific Northwest,N,N,N,N
47933,Crawfordsville,IN,Central,N,N,N,N
95531,Crescent City,CA,Pacific,N,N,N,N
50891,Creston,IA,Central,N,N,N,N
10520,Croton-on-Hudson,NY,Northeast,N,N,N,N
22701,Culpeper,VA,Mid-Atlantic,N,N,N,N
21502,Cumberland,MD,Mid-Atlantic,N,Y,N,N
21502,Cumberland,MD,Mid-Atlantic,N,Y,N,N
59427,Cut Bank,MT,Pacific Northwest,N,N,N,N
33525,Dade City,FL,Southern,N,N,N,N
75202,Dallas,TX,Southwest,Y,Y,N,N
4543,Damariscotta,ME,Northeast,N,N,N,N
61834,Danville,IL,Central,N,N,N,N
24541,Danville,VA,Southern,N,N,N,N
52801,Davenport,IA,Central,N,N,N,N
95616,Davis,CA,Pacific,Y,Y,N,N
32118,Daytona Beach,FL,Southern,N,N,N,N
48126,Dearborn,MI,Central,Y,Y,N,N
48216,Dearborn,MI,Central,N,N,N,N
