URL,Name,Appearances,Current,Gender,Full Intro,Year,Years since joining,Notes
http://marvel.wikia.com/Henry_Pym_(Earth-616),"Henry Jonathan ""Hank"" Pym",1269,YES,MALE,Sep-63,1963,52,Merged with Ultron in Rage of Ultron Vol. 1. A funeral was held.
http://marvel.wikia.com/Janet_van_Dyne_(Earth-616),Janet van Dyne,1165,YES,FEMALE,Sep-63,1963,52,Dies in Secret Invasion V1:I8. Actually was sent tto Microverse later recovered
http://marvel.wikia.com/Anthony_Stark_(Earth-616),"Anthony Edward ""Tony"" Stark",3068,YES,MALE,Sep-63,1963,52,"Death: ""Later while under the influence of Immortus Stark committed a number of horrible acts and was killed.'  This set up young Tony. Franklin Richards later brought him back"
http://marvel.wikia.com/Robert_Bruce_Banner_(Earth-616),Robert Bruce Banner,2089,YES,MALE,Sep-63,1963,52,"Dies in Ghosts of the Future arc. However ""he had actually used a hidden Pantheon base to survive"""
http://marvel.wikia.com/Thor_Odinson_(Earth-616),Thor Odinson,2402,YES,MALE,Sep-63,1963,52,Dies in Fear Itself brought back because that's kind of the whole point. Second death in Time Runs Out has not yet returned
http://marvel.wikia.com/Richard_Jones_(Earth-616),Richard Milhouse Jones,612,YES,MALE,Sep-63,1963,52,NA
http://marvel.wikia.com/Steven_Rogers_(Earth-616),Steven Rogers,3458,YES,MALE,Mar-64,1964,51,Dies at the end of Civil War. Later comes back.
http://marvel.wikia.com/Clint_Barton_(Earth-616),Clinton Francis Barton,1456,YES,MALE,May-65,1965,50,Dies in exploding Kree ship in Averngers Vol. 1  Issue 502. Brought back by Scarlet Witch. Dies again in House of M Vol 1 Issue 7. Is later brought back.
http://marvel.wikia.com/Pietro_Maximoff_(Earth-616),Pietro Maximoff,769,YES,MALE,May-65,1965,50,Dies in House of M Vol 1 Issue 7. Later comes back
http://marvel.wikia.com/Wanda_Maximoff_(Earth-616),Wanda Maximoff,1214,YES,FEMALE,May-65,1965,50,Dies in Uncanny_Avengers_Vol_1_14. Later comes back
http://marvel.wikia.com/Jacques_Duquesne_(Earth-616),Jacques Duquesne,115,NO,MALE,Sep-65,1965,50,Dies in Avengers_Vol_1_130. Brought back by the Chaos King
http://marvel.wikia.com/Hercules_(Earth-616),Heracles,741,YES,MALE,Oct-67,1967,48,NA
http://marvel.wikia.com/T%27Challa_(Earth-616),T'Challa,780,NO,MALE,May-68,1968,47,NA
http://marvel.wikia.com/Vision_(Earth-616),Victor Shade (alias),1036,YES,MALE,Nov-68,1968,47,Dies in Avengers_Vol_1_500. Is eventually rebuilt.
