Title,Genre,Premiere,Runtime,Language
The House,Stop motion / dark comedy,"January 14, 2022",1 h 37 min,English
Behind the Scenes with Jane Campion,Making-of,"January 27, 2022",17 min,English
Erax,Fantasy,"February 17, 2022",15 min,English
Forgive Us Our Trespasses,Drama,"February 17, 2022",14 min,English
Heart Shot,Thriller,"February 17, 2022",19 min,English
Cat Burglar,Animation / interactive fiction,"February 22, 2022",12 min,English
Adam by Eve: A Live in Animation,Animation / concert film,"March 15, 2022",58 min,Japanese
Celeb Five: Behind the Curtain,Docu-comedy,"April 1, 2022",55 min,Korean
Oprah + Viola: A Netflix Special Event,Interview,"April 22, 2022",48 min,English
Dirty Daddy: The Bob Saget Tribute,Interview,"June 10, 2022",1 h 23 min,English
Dave Chappelle: What's In a Name?,Speech,"July 7, 2022",39 min,English
Nightmare of the Wolf Bestiary,Clipshow,"August 23, 2022",11 min,English
Ivy + Bean,Family,"September 2, 2022",57 min,English
Ivy + Bean: Doomed to Dance,Family,"September 2, 2022",56 min,English
Ivy + Bean: The Ghost That Had to Go,Family,"September 2, 2022",1 h 1 min,English
Entergalactic,Musical drama,"September 30, 2022",1 h 32 min,English
Barbie Epic Road Trip,Animation / interactive fiction,"October 25, 2022",36 min,English
Triviaverse,Interactive fiction / Quiz show,"November 8, 2022",6 min,English
Making ATHENA,Making-of,"November 18, 2022",37 min,French
Guillermo del Toro's Pinocchio: Handcarved Cinema,Making-of,"December 9, 2022",30 min,English
The Seven Deadly Sins: Grudge of Edinburgh Part 1,Anime,"December 20, 2022",52 min,Japanese
Stuck with You,Romantic comedy,"December 28, 2022",59 min,French
