,Area Code (FAO),Area,Months Code,Months,Year Code,Year,Value
9180,9,Argentina,7001,January,1961,1961,-0.044
9181,9,Argentina,7001,January,1962,1962,-0.526
9182,9,Argentina,7001,January,1963,1963,0.004
9183,9,Argentina,7001,January,1964,1964,0.314
9184,9,Argentina,7001,January,1965,1965,0.135
9185,9,Argentina,7001,January,1966,1966,-0.042
9186,9,Argentina,7001,January,1967,1967,-0.382
9187,9,Argentina,7001,January,1968,1968,-0.091
9188,9,Argentina,7001,January,1969,1969,0.187
9189,9,Argentina,7001,January,1970,1970,-0.361
9190,9,Argentina,7001,January,1971,1971,-1.441
9191,9,Argentina,7001,January,1972,1972,0.739
9192,9,Argentina,7001,January,1973,1973,-0.112
9193,9,Argentina,7001,January,1974,1974,-0.125
9194,9,Argentina,7001,January,1975,1975,0.144
9195,9,Argentina,7001,January,1976,1976,-0.221
9196,9,Argentina,7001,January,1977,1977,0.038
9197,9,Argentina,7001,January,1978,1978,-0.447
9198,9,Argentina,7001,January,1979,1979,0.875
9199,9,Argentina,7001,January,1980,1980,0.683
9200,9,Argentina,7001,January,1981,1981,-0.509
9201,9,Argentina,7001,January,1982,1982,0.445
9202,9,Argentina,7001,January,1983,1983,1.033
9203,9,Argentina,7001,January,1984,1984,0.828
9204,9,Argentina,7001,January,1985,1985,-0.039
9205,9,Argentina,7001,January,1986,1986,0.578
9206,9,Argentina,7001,January,1987,1987,0.701
9207,9,Argentina,7001,January,1988,1988,-0.17
9208,9,Argentina,7001,January,1989,1989,1.013
9209,9,Argentina,7001,January,1990,1990,0.547
9210,9,Argentina,7001,January,1991,1991,-0.064
9211,9,Argentina,7001,January,1992,1992,0.136
9212,9,Argentina,7001,January,1993,1993,0.091
9213,9,Argentina,7001,January,1994,1994,0.386
9214,9,Argentina,7001,January,1995,1995,-0.239
9215,9,Argentina,7001,January,1996,1996,-0.337
9216,9,Argentina,7001,January,1997,1997,1.042
9217,9,Argentina,7001,January,1998,1998,-0.176
9218,9,Argentina,7001,January,1999,1999,-0.354
9219,9,Argentina,7001,January,2000,2000,0.56
9220,9,Argentina,7001,January,2001,2001,0.294
9221,9,Argentina,7001,January,2002,2002,0.066
9222,9,Argentina,7001,January,2003,2003,0.541
9223,9,Argentina,7001,January,2004,2004,1.317
9224,9,Argentina,7001,January,2005,2005,0.276
9225,9,Argentina,7001,January,2006,2006,0.718
9226,9,Argentina,7001,January,2007,2007,0.169
9227,9,Argentina,7001,January,2008,2008,0.538
9228,9,Argentina,7001,January,2009,2009,0.322
9229,9,Argentina,7001,January,2010,2010,0.713
9230,9,Argentina,7001,January,2011,2011,0.597
