ranking,title,year,duration,genre,rating,directors,votes
"5,406.", Cop Shop,(1977–1984),,,,,
"5,407.", Cop Shop,(1977–1984),,,,,
"5,408.", Cop Shop,(1977–1984),,,,,
"5,409.", Cop Shop,(1977–1984),,,,,
"5,410.", Cops,(1989–2023),,,7,,12
"5,411.", Cops,(1989–2023),,,5.7,,16
"5,412.", Cops,(1989–2023),,,,,
"5,413.", Cops,(1989–2023),,,6.7,,10
"5,414.", Counterstrike,(1990–1993),,,,,
"5,415.", Counterstrike,(1990–1993),,,,,
"5,416.", Counterstrike,(1990–1993),,,,,
"5,417.", Counterstrike,(1990–1993),60 min,"Action, Adventure",,,
"5,418.", Counterstrike,(1990–1993),,,,,
"5,419.", Counterstrike,(1990–1993),,,,,
"5,420.", Counterstrike,(1990–1993),,,,,
"5,421.", Counterstrike,(1990–1993),,,,,
"5,422.", Counterstrike,(1990–1993),,,,,
"5,423.", Counterstrike,(1990–1993),,,,,
"5,424.", Counterstrike,(1990–1993),,,,,
"5,425.", Counterstrike,(1990–1993),,,,,
"5,426.", Counterstrike,(1990–1993),,,,,
"5,427.", Counterstrike,(1990–1993),,,,,
"5,428.", Counterstrike,(1990–1993),,,,,
"5,429.", Counterstrike,(1990–1993),,,,,
"5,430.", Counterstrike,(1990–1993),,,7,,5
"5,431.", Counterstrike,(1990–1993),,,,,
"5,432.", Counterstrike,(1990–1993),,,,,
"5,433.", Counterstrike,(1990–1993),,,,,
"5,434.", Counterstrike,(1990–1993),,,,,
"5,435.", Counterstrike,(1990–1993),,,,,
"5,436.", Counterstrike,(1990–1993),,,,,
"5,437.", Counterstrike,(1990–1993),,,,,
"5,438.", Counterstrike,(1990–1993),,,,,
"5,439.", Counterstrike,(1990–1993),,,,,
"5,440.", Counterstrike,(1990–1993),,,,,
"5,441.", Counterstrike,(1990–1993),,,,,
"5,442.", Counterstrike,(1990–1993),,,,,
"5,443.", Counterstrike,(1990–1993),,,,,
"5,444.", Counterstrike,(1990–1993),,,,,
"5,445.", Counterstrike,(1990–1993),,,,,
"5,446.", Counterstrike,(1990–1993),,,,,
"5,447.", Counterstrike,(1990–1993),,,,,
"5,448.", Counterstrike,(1990–1993),,,,,
"5,449.", Counterstrike,(1990–1993),,,,,
"5,450.", Counterstrike,(1990–1993),,,,,
"5,451.", Counterstrike,(1990–1993),,,,,
"5,452.", Counterstrike,(1990–1993),,,,,
"5,453.", Counterstrike,(1990–1993),,,,,
"5,454.", Counterstrike,(1990–1993),,,,,
"5,455.", Counterstrike,(1990–1993),,,,,
"5,916.", Department S,(1969–1970),,,7.6,,44
"5,917.", Department S,(1969–1970),,,7.7,,46
"5,918.", Department S,(1969–1970),,,7.7,,46
"5,919.", Department S,(1969–1970),,,7.5,,50
"5,920.", Department S,(1969–1970),,,7.6,,53
"5,921.", Department S,(1969–1970),,,7.9,,62
"5,922.", Department S,(1969–1970),,,6.8,,42
"5,923.", Department S,(1969–1970),,,7.2,,45
"5,924.", Department S,(1969–1970),,,8.2,,62
"5,925.", Department S,(1969–1970),,,7.3,,45
"5,926.", Department S,(1969–1970),,,7.1,,43
"5,927.", Department S,(1969–1970),,,6.8,,48
"5,928.", Department S,(1969–1970),,,7.3,,55
"5,929.", Department S,(1969–1970),,,7.4,,50
"5,930.", The Detectives,(1959–1962),60 min,"Action, Crime, Drama",7.1,,11
"5,931.", The Detectives,(1959–1962),60 min,"Action, Crime, Drama",7.8,,10
"5,932.", The Detectives,(1959–1962),60 min,"Action, Crime, Drama",7.5,,7
"5,933.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",7.2,,5
"5,934.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",6.8,,7
"5,935.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",,,
"5,936.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",7.6,,9
"5,937.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",7.6,,10
"5,938.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",8.9,,8
"5,939.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",8,,7
"5,940.", The Detectives,(1959–1962),60 min,"Action, Crime, Drama",7,,6
"5,941.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",,,
"5,942.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",,,
"5,943.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",7,,6
"5,944.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",,,
"5,945.", The Detectives,(1959–1962),60 min,"Action, Crime, Drama",8,,7
"5,946.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",8.2,,6
"5,947.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",7.7,,7
"5,948.", The Detectives,(1959–1962),60 min,"Action, Crime, Drama",7.4,,9
"5,949.", The Detectives,(1959–1962),60 min,"Action, Crime, Drama",7.2,,6
"5,950.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",7.4,,17
"5,951.", The Detectives,(1959–1962),60 min,"Action, Crime, Drama",7,,5
"5,952.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",7.4,,15
"5,953.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",6.7,,10
"5,954.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",,,
"5,955.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",,,
"5,956.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",,,
"5,957.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",,,
"5,958.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",7.7,,7
"5,959.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",8,,7
"5,960.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",6.8,,5
"5,961.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",8.2,,7
"5,962.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",,,
"5,963.", The Detectives,(1959–1962),30 min,"Action, Crime, Drama",6.2,,7
"5,964.", The Detectives,(1959–1962),60 min,"Action, Crime, Drama",7.9,,8
"5,965.", The Detectives,(1959–1962),60 min,"Action, Crime, Drama",7.9,,9
"1,989.", Angel,(1999–2004),43 min,"Action, Drama, Fantasy",8,,1938
"1,990.", Angel,(1999–2004),43 min,"Action, Drama, Fantasy",7,,1410
"1,991.", Angel,(1999–2004),43 min,"Action, Drama, Fantasy",8.5,,1999
"1,992.", Angel,(1999–2004),42 min,"Action, Drama, Fantasy",7.9,,2107
"1,993.", Angel,(1999–2004),41 min,"Action, Drama, Fantasy",7.1,,2080
"1,994.", Angel,(1999–2004),41 min,"Action, Drama, Fantasy",7.5,,1898
"1,995.", Angel,(1999–2004),41 min,"Action, Drama, Fantasy",9,,2567
"1,996.", Angel,(1999–2004),43 min,"Action, Drama, Fantasy",8.5,,1623
"1,997.", Angel,(1999–2004),42 min,"Action, Drama, Fantasy",7.7,,1546
"1,998.", Angel,(1999–2004),39 min,"Action, Drama, Fantasy",7.8,,1409
"1,999.", Angel,(1999–2004),43 min,"Action, Drama, Fantasy",8.3,,2021
"2,000.", Angel,(1999–2004),44 min,"Action, Drama, Fantasy",8.2,,1444
"2,001.", Angel,(1999–2004),42 min,"Action, Drama, Fantasy",7.2,,1814
"2,002.", Angel,(1999–2004),43 min,"Action, Drama, Fantasy",8.2,,1915
"2,003.", Angel,(1999–2004),42 min,"Action, Drama, Fantasy",7.6,,1835
"2,004.", Angel,(1999–2004),44 min,"Action, Drama, Fantasy",8.3,,1848
"2,005.", Angel,(1999–2004),41 min,"Action, Drama, Fantasy",8.8,,2562
"2,006.", Angel,(1999–2004),44 min,"Action, Drama, Fantasy",8.5,,1636
"2,007.", Angel,(1999–2004),43 min,"Action, Drama, Fantasy",6.9,,2185
"2,008.", Angel,(1999–2004),43 min,"Action, Drama, Fantasy",9.1,,3329
"2,009.", Angel,(1999–2004),42 min,"Action, Drama, Fantasy",7.9,,2099
"2,010.", Angel,(1999–2004),42 min,"Action, Drama, Fantasy",8.2,,2516
"2,011.", Angel,(1999–2004),40 min,"Action, Drama, Fantasy",7.6,,1365
"2,012.", Angel,(1999–2004),43 min,"Action, Drama, Fantasy",7.7,,2043
"2,013.", Angel,(1999–2004),44 min,"Action, Drama, Fantasy",8.2,,1853
"2,014.", Angel,(1999–2004),43 min,"Action, Drama, Fantasy",8.2,,1888
"2,015.", Angel,(1999–2004),43 min,"Action, Drama, Fantasy",8.4,,1430
"2,016.", Angel,(1999–2004),44 min,"Action, Drama, Fantasy",7.6,,2332
"2,017.", Angel,(1999–2004),44 min,"Action, Drama, Fantasy",7.9,,1397
"2,018.", Angel,(1999–2004),42 min,"Action, Drama, Fantasy",8,,1439
"2,019.", Angel,(1999–2004),42 min,"Action, Drama, Fantasy",8.7,,1711
"2,020.", Angel,(1999–2004),44 min,"Action, Drama, Fantasy",9.5,,3461
"2,021.", Angel,(1999–2004),42 min,"Action, Drama, Fantasy",7.7,,1500
"2,022.", Angel,(1999–2004),42 min,"Action, Drama, Fantasy",8.5,,1300
"2,023.", Angel,(1999–2004),42 min,"Action, Drama, Fantasy",9.1,,2058
"2,024.", Angel,(1999–2004),42 min,"Action, Drama, Fantasy",8.2,,1907
"2,025.", Angel,(1999–2004),41 min,"Action, Drama, Fantasy",8,,2127
"2,026.", Angel,(1999–2004),43 min,"Action, Drama, Fantasy",7.8,,1383
"2,027.", Angel,(1999–2004),42 min,"Action, Drama, Fantasy",7.4,,1353
"2,028.", Angel,(1999–2004),44 min,"Action, Drama, Fantasy",8.8,,1752
"2,029.", Angel,(1999–2004),42 min,"Action, Drama, Fantasy",7.2,,1484
"2,030.", Angel,(1999–2004),41 min,"Action, Drama, Fantasy",7.8,,1464
"2,031.", Angel,(1999–2004),42 min,"Action, Drama, Fantasy",8.4,,1776
"2,032.", Angel,(1999–2004),40 min,"Action, Drama, Fantasy",8.6,,1632
"2,033.", Angel,(1999–2004),43 min,"Action, Drama, Fantasy",8.6,,1936
"2,034.", Angel,(1999–2004),41 min,"Action, Drama, Fantasy",9.1,,2216
"2,035.", Angel,(1999–2004),43 min,"Action, Drama, Fantasy",8,,2323
"2,036.", Angel,(1999–2004),40 min,"Action, Drama, Fantasy",7.4,,1380
"2,037.", Angel,(1999–2004),41 min,"Action, Drama, Fantasy",8.9,,1882
"2,038.", Angel,(1999–2004),41 min,"Action, Drama, Fantasy",9,,2430
"5,508.", Crossbow,(1987–1989),23 min,"Action, Adventure, Drama",,,
"5,509.", Crossbow,(1987–1989),23 min,"Action, Adventure, Drama",,,
"5,510.", Crossbow,(1987–1989),23 min,"Action, Adventure, Drama",,,
"5,511.", The Crow: Stairway to Heaven,(1998–1999),,,8.1,,46
"5,512.", The Crow: Stairway to Heaven,(1998–1999),,,8.2,,46
"5,513.", The Crow: Stairway to Heaven,(1998–1999),,,7.9,,55
"5,514.", The Crow: Stairway to Heaven,(1998–1999),,,7.8,,43
"5,515.", The Crow: Stairway to Heaven,(1998–1999),,,7.8,,40
"5,516.", The Crow: Stairway to Heaven,(1998–1999),60 min,"Action, Crime, Drama",7.7,,47
"5,517.", The Crow: Stairway to Heaven,(1998–1999),,,8,,44
"5,518.", The Crow: Stairway to Heaven,(1998–1999),,,7.8,,43
"5,519.", The Crow: Stairway to Heaven,(1998–1999),,,7.9,,43
"5,520.", The Crow: Stairway to Heaven,(1998–1999),,,8.1,,49
"5,521.", The Crow: Stairway to Heaven,(1998–1999),,,8,,42
"5,522.", The Crow: Stairway to Heaven,(1998–1999),,,7.9,,44
"5,523.", The Crow: Stairway to Heaven,(1998–1999),,,7.6,,36
"5,524.", The Crow: Stairway to Heaven,(1998–1999),,,8.1,,44
"5,525.", The Crow: Stairway to Heaven,(1998–1999),,,7.1,,47
"5,526.", The Crow: Stairway to Heaven,(1998–1999),,,7.9,,39
"5,527.", The Crow: Stairway to Heaven,(1998–1999),,,7.9,,49
"5,528.", The Crow: Stairway to Heaven,(1998–1999),,,7.6,,39
"5,529.", The Crow: Stairway to Heaven,(1998–1999),,,7.7,,44
"5,530.", The Crow: Stairway to Heaven,(1998–1999),,,7.6,,66
"5,531.", The Crow: Stairway to Heaven,(1998–1999),,,8,,38
"5,532.", The Crow: Stairway to Heaven,(1998–1999),,,7.9,,47
"5,533.", Crusade,(1999),44 min,"Action, Adventure, Drama",7.5,,165
"5,534.", Crusade,(1999),44 min,"Action, Adventure, Drama",7.7,,158
"5,535.", Crusade,(1999),44 min,"Action, Adventure, Drama",6.6,,161
"5,536.", Crusade,(1999),44 min,"Action, Adventure, Drama",7.6,,162
"5,537.", Crusade,(1999),44 min,"Action, Adventure, Drama",6.6,,170
"5,538.", Crusade,(1999),44 min,"Action, Adventure, Drama",6.7,,175
"5,539.", Crusade,(1999),44 min,"Action, Adventure, Drama",7.2,,156
"5,540.", Crusade,(1999),44 min,"Action, Adventure, Drama",7.2,,159
"5,541.", Crusade,(1999),44 min,"Action, Adventure, Drama",7,,175
"5,542.", Crusade,(1999),44 min,"Action, Adventure, Drama",6.9,,157
"5,543.", Crusade,(1999),44 min,"Action, Adventure, Drama",7.3,,191
"5,544.", Crusade,(1999),44 min,"Action, Adventure, Drama",6.8,,170
"5,545.", Crusade,(1999),44 min,"Action, Adventure, Drama",6.8,,192
"5,546.", Curro Jiménez,(1976–1979),,,7.1,,13
"5,547.", Curro Jiménez,(1976–1979),,,6.8,,6
"5,548.", Curro Jiménez,(1976–1979),,,7.9,,10
"5,549.", Curro Jiménez,(1976–1979),,,6.7,,8
"5,550.", Curro Jiménez,(1976–1979),,,8.1,,15
"5,551.", Curro Jiménez,(1976–1979),,,7.4,,10
"5,552.", Curro Jiménez,(1976–1979),,,7.3,,14
"5,553.", Curro Jiménez,(1976–1979),,,6.9,,10
"5,554.", Curro Jiménez,(1976–1979),,,6.7,,7
"5,555.", Curro Jiménez,(1976–1979),,,7.3,,10
"5,556.", Curro Jiménez,(1976–1979),,,7.8,,10
"5,557.", Curro Jiménez,(1976–1979),,,7.9,,10
"6,936.", Eugenie Sandler P.I.,(2000),,,,,
"6,937.", Eugenie Sandler P.I.,(2000),,,,,
"6,938.", Eugenie Sandler P.I.,(2000),,,,,
"6,939.", Eugenie Sandler P.I.,(2000),,,,,
"6,940.", Eugenie Sandler P.I.,(2000),,,,,
"6,941.", Eugenie Sandler P.I.,(2000),,,,,
"6,942.", Eugenie Sandler P.I.,(2000),,,,,
"6,943.", Everglades!,(1961–1962),30 min,"Action, Adventure, Crime",,,
"6,944.", Everglades!,(1961–1962),30 min,"Action, Adventure, Crime",,,
"6,945.", Everglades!,(1961–1962),30 min,"Action, Adventure, Crime",,,
"6,946.", Everglades!,(1961–1962),30 min,"Action, Adventure, Crime",,,
"6,947.", Everglades!,(1961–1962),30 min,"Action, Adventure, Crime",,,
"6,948.", The Exile,(1991– ),,,,,
"6,949.", The Exile,(1991– ),60 min,"Action, Thriller",,,
"6,950.", The Exile,(1991– ),,,,,
"6,951.", Extreme Dinosaurs,(1997),21 min,"Animation, Action, Adventure",,,
"6,952.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",5.7,,25
"6,953.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",8,,42
"6,954.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",7.5,,38
"6,955.", Extreme Ghostbusters,(1997),20 min,"Animation, Action, Adventure",6.7,,42
"6,956.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",6,,34
"6,957.", Extreme Ghostbusters,(1997),20 min,"Animation, Action, Adventure",7.1,,44
"6,958.", Extreme Ghostbusters,(1997),20 min,"Animation, Action, Adventure",7.2,,76
"6,959.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",7.2,,64
"6,960.", Extreme Ghostbusters,(1997),20 min,"Animation, Action, Adventure",7.8,,63
"6,961.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",5.3,"Christopher Berkeley,Chris Dozois,Tara Strong,Maurice LaMarche,Jason Marsden,Pat Musick",27
"6,962.", Extreme Ghostbusters,(1997),20 min,"Animation, Action, Adventure",6.5,,37
"6,963.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",5.9,,30
"6,964.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",6.2,,29
"6,965.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",7.2,,55
"6,966.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",6.9,,38
"6,967.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",5.6,"Tim Eldred,Bob Fuentes III,Tara Strong,Maurice LaMarche,Jason Marsden,Alfonso Ribeiro",25
"6,968.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",6,,28
"6,969.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",6.7,,39
"6,970.", Extreme Ghostbusters,(1997),20 min,"Animation, Action, Adventure",7.4,,35
"6,971.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",6.3,,27
"6,972.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",6.9,,45
"6,973.", Extreme Ghostbusters,(1997),20 min,"Animation, Action, Adventure",7.1,"Christopher Berkeley,Chris Dozois,Tara Strong,Maurice LaMarche,Jason Marsden,Pat Musick",32
"6,974.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",7.3,,44
"6,975.", Extreme Ghostbusters,(1997),20 min,"Animation, Action, Adventure",6.8,,29
"6,976.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",5.9,,25
"6,977.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",6.9,,27
"6,978.", Extreme Ghostbusters,(1997),21 min,"Animation, Action, Adventure",6.1,,31
