school,song_name,writers,year,official_song,sec_duration,fight,victory,colors,opponents,spelling,trope_count,spotify_id
Notre Dame,Victory March,Michael J. Shea and John F. Shea,1908,Yes,64,Yes,Yes,Yes,No,No,6,15a3ShKX3XWKzq0lSS48yr
Baylor,Old Fight,Dick Baker and Frank Boggs,1947,Yes,99,Yes,Yes,Yes,No,Yes,5,2ZsaI0Cu4nz8DHfBkPt0Dl
Iowa State,Iowa State Fights,"Jack Barker, Manly Rice, Paul Gnam, Rosalind K. Cook",1930,Yes,55,Yes,No,No,No,Yes,4,3yyfoOXZQCtR6pfRJqu9pl
Kansas,I'm a Jayhawk,"George ""Dumpy"" Bowles",1912,Yes,62,No,No,No,Yes,No,3,0JzbjZgcjugS0dmPjF9R89
Kansas State,Wildcat Victory,Harry E. Erickson,1927,Yes,67,Yes,Yes,Yes,No,No,3,4xxDK4g1OHhZ44sTFy8Ktm
Oklahoma,Boomer Sooner,Arthur M. Alden,1905,Yes,37,No,No,No,No,Yes,2,0QXC8Gg1oKWkORegslTXoT
Oklahoma State,Ride 'Em Cowboys,J.K. Long,1934,Yes,29,Yes,Yes,No,Yes,No,4,0mTJqaacUZPG740Y1YDn5j
Texas,Texas Fight,"Walter S. Hunnicutt, James E. King and Burnett Pharr",1923,Yes,65,Yes,No,Yes,Yes,No,4,53CytfvDMSkJHY5PtrcZiD
TCU,TCU Fight Song,Claude Sammis,1928,Yes,47,Yes,Yes,Yes,No,Yes,6,0ItcRLvqHlbkaqMCPtQKUl
Texas Tech,"Fight, Raiders, Fight",Carroll McMath,1936,Yes,54,Yes,Yes,Yes,No,No,3,3DfKi9Iqvtxf4DIjs8ezTq
West Virginia,Hail West Virginia,"Earl Miller, Ed McWhorter and Fred Deem",1915,Yes,92,No,No,No,No,No,1,1VqZp811UsBJy66R8TTkei
Illinois,Oskee-Wow-Wow,H.R. Green and H.V. Hill,1910,Yes,60,No,Yes,Yes,Yes,No,6,6C0vaoMxzM21yYgJBmGx5K
Indiana,"Indiana, Our Indiana",Russell P. Harker and Karl L. King,1912,Yes,63,Yes,No,Yes,No,Yes,3,2Wbo5zdRDnq4pOgWL9avaG
Iowa,Iowa Fight Song,Meredith Willson,1950,Yes,72,Yes,No,No,No,No,3,604ELPPFgbFlW0SHoEYVJw
Maryland,Maryland Fight Song,Ralph Davis,1939,Yes,56,Yes,Yes,No,No,No,3,6PKoPWKJLOBI2K33RkFvbc
Michigan,The Victors,Louis Elbel,1898,Yes,122,No,No,No,No,No,0,6wVbHLCBOCqp6052WcWXLG
Michigan State,Victory for MSU,Francis Irving Lankey and Arthur L. Sayles,1915,Yes,112,Yes,Yes,Yes,No,Yes,5,4BSrPApxbeUNPA5Q8LyfMd
Minnesota,The Minnesota Rouser,Floyd Hutsell,1909,Yes,60,No,No,No,No,Yes,3,2EeyLSmHKdZulOKGcTpLS0
Nebraska,Dear Old Nebraska U.,Harry Pecha,1924,No,94,No,No,No,No,No,1,7z2TihIyf3IZR1r0AmI1Ik
Northwestern,Go! U Northwestern,Theodore C. Van Etten,1912,Yes,57,Yes,Yes,No,No,No,4,4iWO9U49SZ0vvzto7qxRxN
Ohio State,Buckeye Battle Cry,Frank Crumit,1919,Yes,89,Yes,Yes,Yes,No,No,5,2faIedehtxwQqYxRRc6T2L
Penn State,"Fight On, State",Joseph Sanders,1933,Yes,81,Yes,Yes,Yes,No,Yes,5,5InlNNfIFQAvCL78VFgR5O
Purdue,Hail Purdue,James R. Morrison and Edward S. Wotawa,1912,Yes,86,No,Yes,Yes,No,No,2,1bYZgec19T5gQJAUeIzq9W
Rutgers,The Bells Must Ring,Richard Hadden and W.E. Sanford,1931,Yes,74,Yes,Yes,Yes,No,Yes,8,7EdGMXzZjJKNHJaszbWTHi
Wisconsin,"On, Wisconsin",William Purdy and Carl Beck,1909,Yes,134,Yes,No,No,No,No,3,4DmMOLdp4ZYvrAqemDBBbJ
